Table: Total Primary Energy Consumption per Capita (Million Btu per Person);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
France;;155.38509;148.621;142.75848;144.41878;148.31842;150.9516;152.79941;154.36514;153.27665;156.85298;160.36105;170.12038;169.90494;169.39229;168.30469;172.2259;177.83029;176.00634;179.07485;180.36743;181.73595;184.73622;182.19641;183.18556;185.1541;184.78976;184.01441;179.89181;180.3234;169.21715
Germany;;--;--;--;--;--;--;--;--;--;--;--;178.76628;174.1767;173.44411;172.06859;176.12391;175.77176;174.86054;174.65985;171.91232;173.31406;177.66918;173.9453;177.01646;178.36289;174.68464;177.80099;172.15717;174.27088;163.49577
Germany, East;;214.45337;212.92079;215.27168;211.75914;215.54731;227.61411;228.1918;230.17358;229.78023;223.1317;210.3361;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Germany, West;;183.1374;174.65472;170.38297;170.97716;176.8159;180.81646;186.97633;186.7095;186.80027;180.32587;181.23635;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Gibraltar;;255.94061;282.67405;255.02634;204.86858;191.24367;434.97993;642.47433;642.86808;816.33114;691.8312;750.5396;801.43716;1419.63227;1494.46096;1558.08855;1561.98477;1563.44165;1563.30818;1803.74722;1570.67937;3429.9189;1829.54677;1849.71318;1889.09822;1932.43614;1982.78727;2023.73657;2080.49935;2126.25754;1836.66134
Greece;;77.95795;76.7966;74.40349;75.98631;77.64183;81.5217;84.06016;90.0471;95.92551;99.8542;102.51706;102.99695;98.80409;103.33135;104.19773;107.4699;109.26471;114.16581;121.11196;120.17448;126.68538;128.04486;128.18227;135.21987;133.9766;134.47364;138.26286;139.99478;137.06803;131.63824
Hungary;;112.95589;112.11971;111.6917;112.97981;111.27071;115.71055;116.89023;120.48514;119.55601;119.86796;113.90099;108.87146;101.59929;99.3972;99.8583;100.61754;104.28248;102.22683;103.18203;103.27869;100.75146;104.36098;104.91206;107.51136;107.72191;115.04377;114.19632;110.73508;110.38806;103.22293
Iceland;;247.59157;243.46171;255.62678;265.20896;279.45114;274.03552;282.48603;289.81117;293.55397;303.00727;306.92099;296.18751;299.94272;311.44519;311.28853;315.07812;336.41077;347.78531;377.89755;404.77833;424.21621;428.04846;436.95571;438.30051;438.75092;437.31842;474.17012;548.13752;680.11971;669.25341
Ireland;;94.98384;90.56795;88.66073;85.58125;87.15021;88.66556;95.77835;96.02815;94.62821;98.78719;104.8007;108.93596;110.10639;112.65441;117.54959;119.59138;126.2129;132.70475;142.35379;149.62824;157.04573;162.2578;158.77303;154.66317;157.3537;158.0914;162.89799;156.81216;153.01131;137.9098
Italy;;108.32077;106.16828;103.60378;101.51746;105.9745;106.20985;107.61399;111.55429;114.28018;117.60798;118.42921;121.06538;120.26541;119.66848;117.70974;122.96485;123.24471;124.87625;128.27246;130.32738;131.36333;131.78604;132.0986;136.27319;138.13901;139.04151;137.74036;135.56625;134.73164;125.86377
